Metric		Current
UNIT_SIZE_COMPONENT_APP_HIGH_RISK_PERCENTAGE		10.93
UNIT_SIZE_COMPONENT_APP_HIGH_RISK_COUNT		5
UNIT_SIZE_COMPONENT_APP_VERY_HIGH_RISK_LOC		1,265
UNIT_SIZE_COMPONENT_APP_VERY_HIGH_RISK_PERCENTAGE		45.92
UNIT_SIZE_COMPONENT_APP_VERY_HIGH_RISK_COUNT		8
UNIT_SIZE_COMPONENT_COMPONENTS_NEGLIGIBLE_RISK_LOC		94
UNIT_SIZE_COMPONENT_COMPONENTS_NEGLIGIBLE_RISK_PERCENTAGE		17.03
UNIT_SIZE_COMPONENT_COMPONENTS_NEGLIGIBLE_RISK_COUNT		16
UNIT_SIZE_COMPONENT_COMPONENTS_LOW_RISK_LOC		154
UNIT_SIZE_COMPONENT_COMPONENTS_LOW_RISK_PERCENTAGE		27.9
UNIT_SIZE_COMPONENT_COMPONENTS_LOW_RISK_COUNT		11
UNIT_SIZE_COMPONENT_COMPONENTS_MEDIUM_RISK_LOC		223
UNIT_SIZE_COMPONENT_COMPONENTS_MEDIUM_RISK_PERCENTAGE		40.4
UNIT_SIZE_COMPONENT_COMPONENTS_MEDIUM_RISK_COUNT		8
UNIT_SIZE_COMPONENT_COMPONENTS_HIGH_RISK_LOC		81
UNIT_SIZE_COMPONENT_COMPONENTS_HIGH_RISK_PERCENTAGE		14.67
UNIT_SIZE_COMPONENT_COMPONENTS_HIGH_RISK_COUNT		1
UNIT_SIZE_COMPONENT_COMPONENTS_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_COMPONENTS_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_COMPONENTS_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_LIB_NEGLIGIBLE_RISK_LOC		3
UNIT_SIZE_COMPONENT_LIB_NEGLIGIBLE_RISK_PERCENTAGE		100
UNIT_SIZE_COMPONENT_LIB_NEGLIGIBLE_RISK_COUNT		1
UNIT_SIZE_COMPONENT_LIB_LOW_RISK_LOC		0
UNIT_SIZE_COMPONENT_LIB_LOW_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_LIB_LOW_RISK_COUNT		0
UNIT_SIZE_COMPONENT_LIB_MEDIUM_RISK_LOC		0
UNIT_SIZE_COMPONENT_LIB_MEDIUM_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_LIB_MEDIUM_RISK_COUNT		0
UNIT_SIZE_COMPONENT_LIB_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_LIB_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_LIB_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_LIB_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_LIB_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_LIB_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_PRISMA_NEGLIGIBLE_RISK_LOC		13
UNIT_SIZE_COMPONENT_PRISMA_NEGLIGIBLE_RISK_PERCENTAGE		25.49
UNIT_SIZE_COMPONENT_PRISMA_NEGLIGIBLE_RISK_COUNT		2
UNIT_SIZE_COMPONENT_PRISMA_LOW_RISK_LOC		0
UNIT_SIZE_COMPONENT_PRISMA_LOW_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_PRISMA_LOW_RISK_COUNT		0
UNIT_SIZE_COMPONENT_PRISMA_MEDIUM_RISK_LOC		38
UNIT_SIZE_COMPONENT_PRISMA_MEDIUM_RISK_PERCENTAGE		74.51
UNIT_SIZE_COMPONENT_PRISMA_MEDIUM_RISK_COUNT		1
UNIT_SIZE_COMPONENT_PRISMA_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_PRISMA_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_PRISMA_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_PRISMA_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_PRISMA_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_PRISMA_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_ROOT_NEGLIGIBLE_RISK_LOC		17
UNIT_SIZE_COMPONENT_ROOT_NEGLIGIBLE_RISK_PERCENTAGE		53.12
UNIT_SIZE_COMPONENT_ROOT_NEGLIGIBLE_RISK_COUNT		4
UNIT_SIZE_COMPONENT_ROOT_LOW_RISK_LOC		15
UNIT_SIZE_COMPONENT_ROOT_LOW_RISK_PERCENTAGE		46.88
UNIT_SIZE_COMPONENT_ROOT_LOW_RISK_COUNT		1
UNIT_SIZE_COMPONENT_ROOT_MEDIUM_RISK_LOC		0
UNIT_SIZE_COMPONENT_ROOT_MEDIUM_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_ROOT_MEDIUM_RISK_COUNT		0
UNIT_SIZE_COMPONENT_ROOT_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_ROOT_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_ROOT_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_ROOT_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_ROOT_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_ROOT_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_HOOKS_NEGLIGIBLE_RISK_LOC		0
UNIT_SIZE_COMPONENT_HOOKS_NEGLIGIBLE_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_HOOKS_NEGLIGIBLE_RISK_COUNT		0
UNIT_SIZE_COMPONENT_HOOKS_LOW_RISK_LOC		15
UNIT_SIZE_COMPONENT_HOOKS_LOW_RISK_PERCENTAGE		100
UNIT_SIZE_COMPONENT_HOOKS_LOW_RISK_COUNT		1
UNIT_SIZE_COMPONENT_HOOKS_MEDIUM_RISK_LOC		0
UNIT_SIZE_COMPONENT_HOOKS_MEDIUM_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_HOOKS_MEDIUM_RISK_COUNT		0
UNIT_SIZE_COMPONENT_HOOKS_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_HOOKS_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_HOOKS_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_HOOKS_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_HOOKS_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_HOOKS_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_CYPRESS_NEGLIGIBLE_RISK_LOC		31
UNIT_SIZE_COMPONENT_CYPRESS_NEGLIGIBLE_RISK_PERCENTAGE		65.96
UNIT_SIZE_COMPONENT_CYPRESS_NEGLIGIBLE_RISK_COUNT		7
UNIT_SIZE_COMPONENT_CYPRESS_LOW_RISK_LOC		16
UNIT_SIZE_COMPONENT_CYPRESS_LOW_RISK_PERCENTAGE		34.04
UNIT_SIZE_COMPONENT_CYPRESS_LOW_RISK_COUNT		1
UNIT_SIZE_COMPONENT_CYPRESS_MEDIUM_RISK_LOC		0
UNIT_SIZE_COMPONENT_CYPRESS_MEDIUM_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_CYPRESS_MEDIUM_RISK_COUNT		0
UNIT_SIZE_COMPONENT_CYPRESS_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_CYPRESS_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_CYPRESS_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_CYPRESS_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_CYPRESS_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_CYPRESS_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_FEATURES_NEGLIGIBLE_RISK_LOC		417
UNIT_SIZE_COMPONENT_FEATURES_NEGLIGIBLE_RISK_PERCENTAGE		47.44
UNIT_SIZE_COMPONENT_FEATURES_NEGLIGIBLE_RISK_COUNT		81
