Metric		Current
UNIT_SIZE_COMPONENT_PRISMA_LOW_RISK_COUNT		0
UNIT_SIZE_COMPONENT_PRISMA_MEDIUM_RISK_LOC		38
UNIT_SIZE_COMPONENT_PRISMA_MEDIUM_RISK_PERCENTAGE		74.51
UNIT_SIZE_COMPONENT_PRISMA_MEDIUM_RISK_COUNT		1
UNIT_SIZE_COMPONENT_PRISMA_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_PRISMA_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_PRISMA_HIGH_RISK_COUNT		0
UNIT_SIZE_COMPONENT_PRISMA_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_COMPONENT_PRISMA_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_COMPONENT_PRISMA_VERY_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_TS_NEGLIGIBLE_RISK_LOC		604
UNIT_SIZE_EXTENSION_TS_NEGLIGIBLE_RISK_PERCENTAGE		24.74
UNIT_SIZE_EXTENSION_TS_NEGLIGIBLE_RISK_COUNT		116
UNIT_SIZE_EXTENSION_TS_LOW_RISK_LOC		550
UNIT_SIZE_EXTENSION_TS_LOW_RISK_PERCENTAGE		22.53
UNIT_SIZE_EXTENSION_TS_LOW_RISK_COUNT		35
UNIT_SIZE_EXTENSION_TS_MEDIUM_RISK_LOC		668
UNIT_SIZE_EXTENSION_TS_MEDIUM_RISK_PERCENTAGE		27.37
UNIT_SIZE_EXTENSION_TS_MEDIUM_RISK_COUNT		22
UNIT_SIZE_EXTENSION_TS_HIGH_RISK_LOC		379
UNIT_SIZE_EXTENSION_TS_HIGH_RISK_PERCENTAGE		15.53
UNIT_SIZE_EXTENSION_TS_HIGH_RISK_COUNT		6
UNIT_SIZE_EXTENSION_TS_VERY_HIGH_RISK_LOC		240
UNIT_SIZE_EXTENSION_TS_VERY_HIGH_RISK_PERCENTAGE		9.83
UNIT_SIZE_EXTENSION_TS_VERY_HIGH_RISK_COUNT		2
UNIT_SIZE_EXTENSION_TSX_NEGLIGIBLE_RISK_LOC		583
UNIT_SIZE_EXTENSION_TSX_NEGLIGIBLE_RISK_PERCENTAGE		10.09
UNIT_SIZE_EXTENSION_TSX_NEGLIGIBLE_RISK_COUNT		90
UNIT_SIZE_EXTENSION_TSX_LOW_RISK_LOC		1,667
UNIT_SIZE_EXTENSION_TSX_LOW_RISK_PERCENTAGE		28.85
UNIT_SIZE_EXTENSION_TSX_LOW_RISK_COUNT		119
UNIT_SIZE_EXTENSION_TSX_MEDIUM_RISK_LOC		1,519
UNIT_SIZE_EXTENSION_TSX_MEDIUM_RISK_PERCENTAGE		26.28
UNIT_SIZE_EXTENSION_TSX_MEDIUM_RISK_COUNT		56
UNIT_SIZE_EXTENSION_TSX_HIGH_RISK_LOC		746
UNIT_SIZE_EXTENSION_TSX_HIGH_RISK_PERCENTAGE		12.91
UNIT_SIZE_EXTENSION_TSX_HIGH_RISK_COUNT		11
UNIT_SIZE_EXTENSION_TSX_VERY_HIGH_RISK_LOC		1,264
UNIT_SIZE_EXTENSION_TSX_VERY_HIGH_RISK_PERCENTAGE		21.87
UNIT_SIZE_EXTENSION_TSX_VERY_HIGH_RISK_COUNT		6
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_LOC		156
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_PERCENTAGE		41.94
UNIT_SIZE_EXTENSION_JS_NEGLIGIBLE_RISK_COUNT		28
UNIT_SIZE_EXTENSION_JS_LOW_RISK_LOC		72
UNIT_SIZE_EXTENSION_JS_LOW_RISK_PERCENTAGE		19.35
UNIT_SIZE_EXTENSION_JS_LOW_RISK_COUNT		4
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_LOC		144
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_PERCENTAGE		38.71
UNIT_SIZE_EXTENSION_JS_MEDIUM_RISK_COUNT		6
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JS_HIGH_RISK_COUNT		0
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_LOC		0
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_PERCENTAGE		0
UNIT_SIZE_EXTENSION_JS_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_LOC		6,359
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_PERCENTAGE		74.01
CONDITIONAL_COMPLEXITY_NEGLIGIBLE_RISK_COUNT		476
CONDITIONAL_COMPLEXITY_LOW_RISK_LOC		826
CONDITIONAL_COMPLEXITY_LOW_RISK_PERCENTAGE		9.61
CONDITIONAL_COMPLEXITY_LOW_RISK_COUNT		16
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_LOC		899
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_PERCENTAGE		10.46
CONDITIONAL_COMPLEXITY_MEDIUM_RISK_COUNT		7
CONDITIONAL_COMPLEXITY_HIGH_RISK_LOC		508
CONDITIONAL_COMPLEXITY_HIGH_RISK_PERCENTAGE		5.91
CONDITIONAL_COMPLEXITY_HIGH_RISK_COUNT		2
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_LOC		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_PERCENTAGE		0
CONDITIONAL_COMPLEXITY_VERY_HIGH_RISK_COUNT		0
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_COUNT		2
CONDITIONAL_COMPLEXITY_HIGH_PLUS_RISK_LOC		508
